SEX,AGE,SCHL,AI/AN/NH,WHITE,BLACK,ASIAN,OTHER,MULT,HISP
1,8,4,98928,15005614,1235204,848459,23095,174604,903038
1,8,1,3565,183007,58460,88415,1156,4986,226724
1,8,2,37834,1910322,543403,163576,6319,30201,917604
1,8,3,61255,6652779,927817,239315,7760,71444,641087
1,1,4,0,0,0,0,0,0,0
1,1,1,87198,4732393,1258646,435182,42694,517653,2604045
1,1,2,132184,7457717,1992790,729405,50549,795279,3711250
1,1,3,0,0,0,0,0,0,0
1,2,4,0,749,368,61,0,0,122
1,2,1,319,6481,2611,1091,150,490,5096
1,2,2,83647,4444558,1143916,402132,29509,388362,2178577
1,2,3,0,1227,2428,945,0,325,1701
1,3,4,17622,1552296,360822,212589,6285,95718,583026
1,3,1,309,18205,6916,1672,58,1629,13262
1,3,2,55742,2826029,809350,237358,18346,218310,1349830
1,3,3,24833,1435773,389928,122435,8279,100508,649308
1,4,4,97963,8245013,1654047,1177682,46289,435534,2363059
1,4,1,1073,58674,28185,11379,775,4364,66085
1,4,2,26716,671980,323819,40557,2653,50201,786694
1,4,3,89613,3581946,1161873,188695,15418,174461,1751512
1,5,4,87687,8485449,1426127,1216805,36995,343128,1849585
1,5,1,2280,63333,29844,21390,764,3310,133836
1,5,2,27630,683889,282195,60832,4694,28600,1231725
1,5,3,70444,3049648,902625,156742,13462,96199,1459537
1,6,4,79507,8097344,1240300,1010493,22013,221157,1416169
1,6,1,1896,71330,31791,34528,1537,2616,152882
1,6,2,22663,710697,237947,79162,6959,24258,1161416
1,6,3,56638,3145240,863844,153033,11580,73221,1136176
1,7,4,75598,8672781,1114863,685438,19827,155334,1039440
1,7,1,2629,92765,38961,46099,1290,3140,145124
1,7,2,27272,1002422,321941,94966,5024,27584,853589
1,7,3,56641,4327547,894362,166323,8574,72501,804698
2,8,4,109618,15872124,1815867,904439,25153,207520,1013207
2,8,1,8512,212239,93306,166205,2945,9280,291766
2,8,2,42070,2309377,701959,324524,10040,39900,1187310
2,8,3,75379,9634186,1263356,365108,11916,96021,863105
2,1,4,0,0,0,0,0,0,0
2,1,1,80874,4479800,1232300,398624,38250,520136,2530956
2,1,2,132215,7134777,1940407,696155,53780,746997,3533431
2,1,3,0,0,0,0,0,0,0
2,2,4,0,645,0,0,0,440,274
2,2,1,493,4631,2074,457,84,436,3617
2,2,2,75282,4166234,1073151,408159,27078,356146,2066159
2,2,3,166,1796,816,237,0,233,1456
2,3,4,28440,1798359,456672,215433,8837,112496,671071
2,3,1,183,12498,5713,1274,142,416,8825
2,3,2,48446,2533634,696812,229723,16712,196327,1194741
2,3,3,29853,1161592,346346,112440,6861,94145,575420
2,4,4,113880,9069287,2032510,1233612,55855,486921,2684587
2,4,1,1421,47213,22117,11884,832,4104,43623
2,4,2,21931,484654,210070,36757,3127,28666,536242
2,4,3,65458,2425348,911958,155430,14529,139212,1356689
2,5,4,112429,9463675,1924015,1387551,40625,366354,2140645
2,5,1,1087,55404,26219,28263,1325,4507,97232
2,5,2,21009,464013,228465,70245,4871,17075,937082
2,5,3,52373,2049534,719054,165462,13110,72496,1157370
2,6,4,104111,8956612,1741635,1125870,28838,286204,1664981
2,6,1,1818,56830,35248,48634,1117,3508,125332
2,6,2,19560,473009,203346,110967,5824,17843,1016123
2,6,3,45955,2442391,709041,204736,10760,60686,999640
2,7,4,101359,9743518,1557283,770494,27485,194080,1177832
2,7,1,2486,79048,37693,71573,1029,3532,142858
2,7,2,25998,743284,286254,124739,4363,20994,789803
2,7,3,55441,3971931,814211,229993,13424,62996,792699
