SEX,AGE,EDUC,HISP,WHITE,BLACK,AI/AN,ASIAN,NH/PA,OTHER,MULT
1,2,5,252890,1427433,172150,6362,290628,1836,7675,69192
1,3,5,718648,4351064,517182,12703,899272,7283,21916,190517
1,4,5,965407,6916818,786326,28678,1299250,10193,22126,209624
1,5,5,862349,13553897,955073,45918,1154291,11694,27799,166171
2,2,5,354358,1849713,266973,6971,317456,1780,9458,88337
2,3,5,892486,5238213,739662,24570,1020463,11169,29054,222832
2,4,5,1243613,8122451,1253339,42298,1449976,12861,27561,253029
2,5,5,942357,13133019,1408761,58374,1189374,11198,29237,189309
1,2,1,767079,1040190,428560,27007,73082,6782,6695,90105
1,3,1,943569,651887,307678,19630,61175,5475,4522,34853
1,4,1,2081886,1152973,429081,32216,147778,6587,11593,44232
1,5,1,2276372,3281222,993515,63917,408335,10738,14157,68226
2,2,1,513900,766015,289521,20074,60133,4515,5478,57959
2,3,1,684023,481931,219160,17424,64436,3660,4027,22586
2,4,1,1720383,788190,373922,26906,207257,5189,10388,32731
2,5,1,2532460,3403995,1145322,70988,705212,10500,19044,75096
1,2,2,1522393,3261486,947244,51378,220970,14346,17478,196969
1,3,2,1442825,2895299,935140,59676,147148,18152,10857,112893
1,4,2,1887432,4628249,1321338,70761,223160,20318,18201,122030
1,5,2,1552540,11351536,1917385,100836,426929,22756,17891,152746
2,2,2,1238342,2381836,786217,48532,188969,11559,14468,169859
2,3,2,1109283,1937390,732420,42890,132932,12794,13080,90531
2,4,2,1606987,3377341,1060199,54869,281505,15164,16653,93130
2,5,2,1751856,13919920,2160086,104440,622020,31880,26289,164840
1,2,3,1343106,3379630,886140,41690,409811,10630,17311,210179
1,3,3,925966,2482437,709391,39732,155444,11105,13806,136847
1,4,3,1016035,3693442,872914,53145,217869,11667,13671,138535
1,5,3,878991,7997626,1133525,75404,305009,14515,11967,135514
2,2,3,1451847,3477766,1013208,47998,376510,12753,22853,227898
2,3,3,928029,2239883,802583,47255,156588,12159,14283,132137
2,4,3,1075961,3512933,1004197,56054,234524,17834,12108,147986
2,5,3,1008721,9336352,1551796,88890,356105,18041,17761,168444
1,2,4,183247,548197,103751,3576,48336,1343,2809,27593
1,3,4,297738,1046133,200009,8962,88371,3310,4134,42094
1,4,4,378665,1672362,306008,16517,119268,6274,5264,51814
1,5,4,320938,2972008,381600,29197,161318,5536,5799,46096
2,2,4,243244,643563,136133,5458,50185,1792,3950,32335
2,3,4,361476,1187430,282472,12207,92136,3192,4783,49472
2,4,4,454071,2073907,475774,25153,168948,7006,6185,73830
2,5,4,387211,4062463,583731,36732,221721,6961,9504,65895
